### CHAN1_mV;CHAN2_mV;CHAN3_mV;CHAN4_mV;CHAN5_mV;CHAN6_mV;CHAN7_mV;CHAN8_mV;local_time_us;LOCAL_TIME
-0.483990;-0.505924;-0.437260;-0.463486;-0.486374;-0.414371;-0.477791;-0.484943;19058956.000000
-0.483513;-0.507832;-0.437737;-0.465870;-0.483513;-0.412464;-0.483513;-0.487804;19059940.000000
-0.484467;-0.507355;-0.435829;-0.468254;-0.482559;-0.410557;-0.484467;-0.486851;19060942.000000
-0.483036;-0.505924;-0.438213;-0.469208;-0.482082;-0.413418;-0.480175;-0.483513;19061944.000000
-0.485897;-0.504017;-0.440598;-0.469208;-0.480652;-0.408649;-0.478268;-0.485420;19062944.000000
-0.484943;-0.503063;-0.438690;-0.465870;-0.482559;-0.411987;-0.479698;-0.484467;19063944.000000
-0.484943;-0.506878;-0.438213;-0.466824;-0.483513;-0.412464;-0.478745;-0.481129;19064944.000000
-0.483513;-0.501633;-0.436783;-0.464439;-0.486851;-0.415325;-0.480175;-0.483513;19065944.000000
-0.481129;-0.496387;-0.436306;-0.466824;-0.483990;-0.415802;-0.482082;-0.486851;19066946.000000
-0.485897;-0.501156;-0.436306;-0.466824;-0.479698;-0.411987;-0.483513;-0.484467;19067946.000000
-0.483513;-0.510693;-0.439167;-0.467777;-0.484467;-0.414371;-0.485897;-0.483513;19068948.000000
-0.485897;-0.504017;-0.438213;-0.466824;-0.484943;-0.415325;-0.484467;-0.480175;19069948.000000
-0.488281;-0.504017;-0.436306;-0.464439;-0.483513;-0.415325;-0.483513;-0.481606;19070948.000000
-0.489712;-0.504971;-0.438213;-0.462532;-0.485897;-0.417709;-0.485897;-0.484943;19071948.000000
-0.486374;-0.506401;-0.440598;-0.466347;-0.482082;-0.417709;-0.484467;-0.481606;19072948.000000
-0.490665;-0.507355;-0.437260;-0.467300;-0.480652;-0.410080;-0.484467;-0.484467;19073950.000000
-0.485897;-0.504971;-0.434875;-0.466347;-0.481129;-0.408173;-0.482082;-0.484467;19074952.000000
-0.482082;-0.504494;-0.433445;-0.466824;-0.484943;-0.409603;-0.480175;-0.485420;19075952.000000
-0.482559;-0.507355;-0.438690;-0.466824;-0.487328;-0.412941;-0.476360;-0.486851;19076952.000000
-0.489712;-0.508785;-0.436783;-0.468254;-0.484467;-0.412464;-0.482559;-0.488281;19077952.000000
-0.489712;-0.503540;-0.431538;-0.470161;-0.486851;-0.410080;-0.483990;-0.485897;19078952.000000
-0.482559;-0.505924;-0.437260;-0.469685;-0.484943;-0.413418;-0.482082;-0.484467;19079956.000000
-0.484467;-0.506401;-0.440121;-0.464916;-0.482559;-0.415325;-0.479698;-0.484467;19080956.000000
-0.482559;-0.502586;-0.438690;-0.469685;-0.483990;-0.414848;-0.481129;-0.486851;19081956.000000
-0.485897;-0.502110;-0.434875;-0.470161;-0.482559;-0.414371;-0.483990;-0.482082;19082956.000000
-0.488281;-0.504971;-0.434399;-0.468254;-0.482559;-0.415802;-0.479221;-0.483036;19083956.000000
-0.489712;-0.504494;-0.437737;-0.467777;-0.486374;-0.416756;-0.480175;-0.483513;19084956.000000
-0.487328;-0.507355;-0.438213;-0.468731;-0.484467;-0.416756;-0.480175;-0.484943;19085958.000000
-0.486374;-0.503063;-0.435829;-0.463009;-0.484467;-0.411987;-0.480175;-0.487328;19086958.000000
-0.483036;-0.504971;-0.433922;-0.463009;-0.481129;-0.411034;-0.477314;-0.483990;19087960.000000
-0.485897;-0.509739;-0.435829;-0.463486;-0.480175;-0.410557;-0.478268;-0.482559;19088960.000000
-0.483513;-0.507832;-0.436783;-0.466347;-0.484467;-0.408649;-0.482082;-0.489235;19089960.000000
-0.483990;-0.505924;-0.435829;-0.471115;-0.483513;-0.410557;-0.481129;-0.489235;19090960.000000
-0.484943;-0.500679;-0.435829;-0.466824;-0.483513;-0.414371;-0.479698;-0.485420;19091962.000000
-0.483513;-0.501633;-0.435829;-0.465393;-0.485420;-0.414371;-0.480652;-0.483513;19092964.000000
-0.486851;-0.504971;-0.440121;-0.468254;-0.487328;-0.411510;-0.480175;-0.482559;19093964.000000
-0.484943;-0.506401;-0.437260;-0.467777;-0.484467;-0.412941;-0.481129;-0.486851;19094964.000000
-0.483513;-0.505447;-0.438213;-0.463963;-0.480175;-0.413895;-0.482082;-0.488281;19095964.000000
-0.482082;-0.502586;-0.437260;-0.465870;-0.478745;-0.413418;-0.481606;-0.486374;19096964.000000
-0.482082;-0.500679;-0.439167;-0.469208;-0.477791;-0.411987;-0.479698;-0.486851;19097996.000000
-0.483513;-0.505447;-0.438690;-0.468254;-0.478268;-0.411987;-0.483036;-0.483990;19099050.000000
-0.483990;-0.505447;-0.434875;-0.466824;-0.483513;-0.414371;-0.484943;-0.481129;19099980.000000
-0.485897;-0.502586;-0.435829;-0.465393;-0.485897;-0.419140;-0.482082;-0.483990;19100968.000000
-0.485420;-0.499725;-0.433445;-0.467777;-0.482559;-0.416279;-0.479221;-0.482559;19101968.000000
-0.482559;-0.502110;-0.436783;-0.465393;-0.480652;-0.411987;-0.481606;-0.484467;19102968.000000
-0.483513;-0.503540;-0.438213;-0.465870;-0.483036;-0.415802;-0.481129;-0.485420;19103970.000000
-0.484943;-0.502586;-0.435829;-0.466824;-0.483036;-0.412464;-0.481606;-0.486374;19104970.000000
-0.486374;-0.503063;-0.436306;-0.465870;-0.482082;-0.411987;-0.484467;-0.486851;19105972.000000
-0.483990;-0.503063;-0.438690;-0.470161;-0.480652;-0.412941;-0.484467;-0.487804;19106972.000000
